text,label
"Security alert. Confirm your identity. Enter your details. Sign in at the link. Immediately.",1
"Your account will be deleted. Verify now. Enter your personal information. Click below. Final notice.",1
"Please find the report attached. Review and let me know your feedback by end of day.",0
"Reminder: Project deadline is next Monday. Please submit your part. Link to folder in previous email.",0
"Your appointment is confirmed for Tuesday 10am. Location: Building B, Room 302. See you then.",0
"Thanks for attending. Here are the slides and recording. Feel free to share with the team.",0
"Annual leave request received. Approved. Dates as requested. Have a good break.",0
"System maintenance scheduled for Saturday 2am-4am. Service may be briefly unavailable. Apologies.",0
"Your feedback has been submitted. We appreciate it. We will use it to improve.",0
"Training session next week. Register via the link. Seats are limited. Hope you can join.",0
"Document shared with you. You have view access. Request edit access if needed.",0
"Payment received. Thank you. Receipt is attached. For questions contact billing.",0
"New version of the app is available. Update from the store. Release notes in the link.",0
"تذكير: الدفع مستحق خلال أسبوع. يمكنك الدفع من البوابة. شكراً لتعاملكم معنا.",0
"تم تحديث سياسة الخصوصية. الرجاء الاطلاع على الموقع. الاستمرار يعني الموافقة.",0
"الاجتماع الأسبوعي غداً. الجدول كما هو معتاد. نراك هناك.",0
"استلام طلبك تم. التوصيل خلال 48 ساعة. للتتبع استخدم الرابط في الرسالة السابقة.",0
"تأكيد الحجز. التاريخ والوقت في المرفق. للاستفسار تواصل مع الدعم.",0
